"Qty","Value","Device","Package","Parts","Description","DIGIKEY","DISP","MF","MPN","VALUE","VALUE_PART",
"1","","CONN_022.54_SCREW_ROUND","1X02_2.54_SCREWTERM_ROUND","J8","Genaric 2 terminal header","ED10561-ND","","OnShore","OSTVN02A150","","",
"2","","CONN_023.5MM_ROUND","SCREWTERMINAL-3.5MM-2_ROUND","J6, J7","Genaric 2 terminal header","ED2635-ND","","OnShore","OSTTE020161","","",
"2","","MOUNTING_HOLE2_NP","2_56","H1, H2","Genaric Mechanical Mounting Hole","DNP","","N/A","DNP","","",
"9","0.1uF","C-EU0.1UFC0603","C0603","C1, C2, C3, C7, C8, C9, C10, C16, C17","CAPACITOR, European symbol","490-6051-1-ND","","Murata","GCM188R71E104KA57D","","",
"1","0R","R-EU_0.0R0603","R0603","R2","RESISTOR, European symbol","311-0.0LECT-ND","","Yageo","AC0603JR-070RL","","0",
"11","100k","R-EU_100KR0603","R0603","R1, R3, R4, R5, R7, R8, R13, R15, R18, R21, R22","RESISTOR, European symbol","311-100KHRCT-ND","","Yageo","RC0603FR-07100KL","","100k",
"4","10k","R-EU_10KR0603","R0603","R6, R9, R10, R14","RESISTOR, European symbol","311-10.0KHRCT-ND","","Yageo","RC0603FR-0710KL","","10k",
"4","10uF","C-EU10UFC0805","C0805","C11, C13, C14, C15","CAPACITOR, European symbol","490-6473-6-ND","","Murata","GRM21BR61C106KE15K","","",
"1","1k","R-EU_1KR0603","R0603","R17","RESISTOR, European symbol","311-1KLDCT-ND","","Yageo","AC0603FR-071KL","","1k",
"2","1uF","C-EU1UFC0603","C0603","C4, C12","CAPACITOR, European symbol","587-1251-1-ND","","Yaiyo Yuden","EMK107BJ105KA-T","","",
"6","4.7k","R-EU_4.7KR0603","R0603","R11, R12, R19, R20, R23, R24","RESISTOR, European symbol","311-4.70KHRCT-ND","","Yageo","RC0603FR-074K7L","","4.7k",
